Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K)
544.024,9.03e-05,4.35e-09,450,450
545.506,9.03e-05,2.36e-09,450,450
547.03,9.03e-05,4.14e-09,450,450
548.58,9.03e-05,1.16e-09,450,450
550.065,9.03e-05,1.89e-09,450,450
551.574,9.04e-05,3.97e-09,450,450
553.064,9.04e-05,9.94e-10,450,450
554.481,9.04e-05,2.81e-09,450,450
555.969,9.04e-05,2.32e-09,450,450
557.497,9.04e-05,4.47e-09,450,450
559.002,9.04e-05,2.37e-09,450,450
560.516,9.04e-05,1.16e-09,450,450
561.935,9.04e-05,4.1e-09,450,450
563.419,9.04e-05,3.77e-09,450,450
564.806,9.05e-05,4.06e-09,450,450
566.316,9.05e-05,4.33e-09,450,450
567.775,9.05e-05,9.19e-10,450,450
569.23,9.05e-05,3.66e-09,450,450
570.728,9.05e-05,4.41e-09,450,450
572.219,9.05e-05,2.47e-09,450,450
573.715,9.05e-05,2.08e-09,450,450
575.194,9.05e-05,4.38e-09,450,450
576.718,9.05e-05,2.26e-09,450,450
578.133,9.06e-05,4.89e-09,450,450
579.646,9.06e-05,6.75e-10,450,450
581.089,9.06e-05,4.29e-09,450,450
582.841,9.06e-05,1.76e-09,450,450
584.552,9.06e-05,1.6e-09,450,450
586.056,9.06e-05,4.58e-09,450,450
587.461,9.06e-05,3.92e-09,450,450
588.879,9.06e-05,2.11e-09,450,450
590.379,9.06e-05,3.34e-09,450,450
591.821,9.07e-05,1.76e-09,450,450
593.249,9.07e-05,6.75e-10,450,450
594.683,9.07e-05,5.46e-09,450,450
596.136,9.07e-05,2.57e-09,450,450
597.808,9.07e-05,2.94e-09,450,450
599.299,9.07e-05,4.23e-09,450,450
600.763,9.07e-05,1.27e-09,450,450
602.174,9.07e-05,2.25e-09,450,450
603.603,9.07e-05,7.89e-10,450,450
605.011,9.07e-05,2.23e-09,450,450
606.572,9.08e-05,3.7e-09,450,450
608.066,9.08e-05,2.18e-09,450,450
609.539,9.08e-05,3.22e-09,450,450
610.968,9.08e-05,3.37e-09,450,450
612.496,9.08e-05,3.03e-09,450,450
614.102,9.08e-05,2.22e-09,450,450
615.574,9.08e-05,7.38e-10,450,450
617.034,9.08e-05,4.69e-09,450,450
