Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K)
3635.34,9.59e-05,,407.5,407.5
3651.568,9.6e-05,,407.5,407.5
3668.33,9.6e-05,,407.5,407.5
3685.207,9.6e-05,,407.5,407.5
3701.726,9.61e-05,,407.5,407.5
3717.806,9.61e-05,,407.5,407.5
3733.855,9.61e-05,,407.5,407.5
3750.557,9.61e-05,,407.5,407.5
3767.254,9.61e-05,,407.5,407.5
3783.533,9.62e-05,,407.5,407.5
3799.453,9.62e-05,,407.5,407.5
3815.847,9.62e-05,,407.5,407.5
3832.359,9.62e-05,,407.5,407.5
3848.741,9.62e-05,,407.5,407.5
3865.387,9.62e-05,,407.5,407.5
3882.24,9.63e-05,,407.5,407.5
3898.275,9.63e-05,,407.5,407.5
3914.701,9.64e-05,,407.5,407.5
3930.993,9.64e-05,,407.5,407.5
3947.357,9.64e-05,,407.5,407.5
3965.15,9.64e-05,,407.5,407.5
3980.953,9.64e-05,,407.5,407.5
3997.34,9.64e-05,,407.5,407.5
4013.637,9.64e-05,,407.5,407.5
4030.645,9.65e-05,,407.5,407.5
4047.847,9.65e-05,,407.5,407.5
4063.831,9.65e-05,,407.5,407.5
4080.226,9.65e-05,,407.5,407.5
4096.384,9.65e-05,,407.5,407.5
4113.207,9.66e-05,,407.5,407.5
4129.77,9.66e-05,,407.5,407.5
4146.471,9.66e-05,,407.5,407.5
4162.774,9.67e-05,,407.5,407.5
4179.092,9.67e-05,,407.5,407.5
4194.804,9.67e-05,,407.5,407.5
4211.549,9.67e-05,,407.5,407.5
4227.905,9.67e-05,,407.5,407.5
4244.089,9.67e-05,,407.5,407.5
4260.286,9.67e-05,,407.5,407.5
4276.91,9.68e-05,,407.5,407.5
4293.644,9.68e-05,,407.5,407.5
4309.651,9.68e-05,,407.5,407.5
4325.923,9.69e-05,,407.5,407.5
4342.177,9.69e-05,,407.5,407.5
4359.216,9.69e-05,,407.5,407.5
4375.931,9.69e-05,,407.5,407.5
4391.973,9.69e-05,,407.5,407.5
4408.198,9.7e-05,,407.5,407.5
4424.632,9.7e-05,,407.5,407.5
4441.011,9.7e-05,,407.5,407.5
4457.281,9.7e-05,,407.5,407.5
4473.666,9.7e-05,,407.5,407.5
4489.878,9.71e-05,,407.5,407.5
4506.531,9.71e-05,,407.5,407.5
4522.565,9.7e-05,,407.5,407.5
4539.406,9.71e-05,,407.5,407.5
4556.855,9.71e-05,,407.5,407.5
4572.89,9.71e-05,,407.5,407.5
4588.849,9.71e-05,,407.5,407.5
4605.157,9.71e-05,,407.5,407.5
4621.668,9.72e-05,,407.5,407.5
4638.65,9.72e-05,,407.5,407.5
4654.821,9.72e-05,,407.5,407.5
4671.519,9.72e-05,,407.5,407.5
4688.101,9.72e-05,,407.5,407.5
4705.464,9.73e-05,,407.5,407.5
4722.603,9.73e-05,,407.5,407.5
4739.528,9.73e-05,,407.5,407.5
4755.698,9.74e-05,,407.5,407.5
4771.983,9.74e-05,,407.5,407.5
4788.417,9.74e-05,,407.5,407.5
4805.374,9.75e-05,,407.5,407.5
4822.887,9.75e-05,,407.5,407.5
4839.054,9.75e-05,,407.5,407.5
4855.412,9.75e-05,,407.5,407.5
4872.272,9.75e-05,,407.5,407.5
4888.971,9.76e-05,,407.5,407.5
4905.749,9.76e-05,,407.5,407.5
4922.139,9.76e-05,,407.5,407.5
4938.743,9.77e-05,,407.5,407.5
4954.77,9.77e-05,,407.5,407.5
4960.142,9.77e-05,,407.5,407.5
4997.785,9.77e-05,,407.5,407.5
5013.799,9.78e-05,,407.5,407.5
5029.697,9.78e-05,,407.5,407.5
5045.932,9.77e-05,,407.5,407.5
5062.573,9.78e-05,,407.5,407.5
5078.667,9.78e-05,,407.5,407.5
5094.668,9.78e-05,,407.5,407.5
5116.016,9.78e-05,,407.5,407.5
5132.041,9.78e-05,,407.5,407.5
5148.348,9.78e-05,,407.5,407.5
5164.562,9.78e-05,,407.5,407.5
5186.464,9.79e-05,,407.5,407.5
5203.322,9.79e-05,,407.5,407.5
5219.31,9.79e-05,,407.5,407.5
5236.144,9.8e-05,,407.5,407.5
5252.147,9.8e-05,,407.5,407.5
5268.21,9.8e-05,,407.5,407.5
5284.416,9.8e-05,,407.5,407.5
5300.782,9.8e-05,,407.5,407.5
5316.814,9.81e-05,,407.5,407.5
5333.397,9.81e-05,,407.5,407.5
5349.571,9.82e-05,,407.5,407.5
5366.091,9.82e-05,,407.5,407.5
5382.561,9.82e-05,,407.5,407.5
5398.911,9.82e-05,,407.5,407.5
5416.799,9.82e-05,,407.5,407.5
5432.957,9.82e-05,,407.5,407.5
5449.575,9.82e-05,,407.5,407.5
5466.833,9.82e-05,,407.5,407.5
5482.97,9.83e-05,,407.5,407.5
5500.181,9.82e-05,,407.5,407.5
5515.853,9.82e-05,,407.5,407.5
5532.211,9.82e-05,,407.5,407.5
5548.303,9.83e-05,,407.5,407.5
5565.375,9.83e-05,,407.5,407.5
5581.877,9.83e-05,,407.5,407.5
5598.616,9.83e-05,,407.5,407.5
5614.521,9.83e-05,,407.5,407.5
5630.677,9.84e-05,,407.5,407.5
5646.867,9.84e-05,,407.5,407.5
5662.936,9.84e-05,,407.5,407.5
5678.965,9.84e-05,,407.5,407.5
5695.16,9.84e-05,,407.5,407.5
5711.448,9.84e-05,,407.5,407.5
5727.696,9.84e-05,,407.5,407.5
5743.944,9.84e-05,,407.5,407.5
5760.192,9.84e-05,,407.5,407.5
5777.908,9.84e-05,,407.5,407.5
5793.958,9.84e-05,,407.5,407.5
5810.223,9.84e-05,,407.5,407.5
5827.496,9.84e-05,,407.5,407.5
5843.685,9.85e-05,,407.5,407.5
5859.582,9.85e-05,,407.5,407.5
5875.557,9.85e-05,,407.5,407.5
5891.801,9.85e-05,,407.5,407.5
5908.98,9.86e-05,,407.5,407.5
5925.218,9.86e-05,,407.5,407.5
5942.57,9.86e-05,,407.5,407.5
5958.64,9.86e-05,,407.5,407.5
5974.863,9.86e-05,,407.5,407.5
5990.935,9.86e-05,,407.5,407.5
6007.506,9.86e-05,,407.5,407.5
6025.629,9.86e-05,,407.5,407.5
6042.398,9.87e-05,,407.5,407.5
6058.822,9.87e-05,,407.5,407.5
6075.727,9.87e-05,,407.5,407.5
6091.871,9.87e-05,,407.5,407.5
6107.841,9.87e-05,,407.5,407.5
6124.448,9.88e-05,,407.5,407.5
6140.808,9.88e-05,,407.5,407.5
6157.191,9.88e-05,,407.5,407.5
6173.699,9.88e-05,,407.5,407.5
6191.003,9.88e-05,,407.5,407.5
6207.279,9.88e-05,,407.5,407.5
6223.274,9.88e-05,,407.5,407.5
6239.536,9.88e-05,,407.5,407.5
6255.925,9.88e-05,,407.5,407.5
6272.433,9.88e-05,,407.5,407.5
6288.618,9.88e-05,,407.5,407.5
6304.673,9.88e-05,,407.5,407.5
6321.056,9.88e-05,,407.5,407.5
6338.265,9.89e-05,,407.5,407.5
6355.209,9.89e-05,,407.5,407.5
6371.315,9.89e-05,,407.5,407.5
6388.844,9.89e-05,,407.5,407.5
6404.863,9.89e-05,,407.5,407.5
6421.584,9.89e-05,,407.5,407.5
6438.061,9.89e-05,,407.5,407.5
6454.337,9.88e-05,,407.5,407.5
6470.275,9.87e-05,,407.5,407.5
6486.828,9.89e-05,,407.5,407.5
6504.506,9.88e-05,,407.5,407.5
6520.503,9.88e-05,,407.5,407.5
6536.716,9.88e-05,,407.5,407.5
6553.562,9.88e-05,,407.5,407.5
6569.393,9.88e-05,,407.5,407.5
6585.843,9.89e-05,,407.5,407.5
6602.814,9.89e-05,,407.5,407.5
6619.526,9.89e-05,,407.5,407.5
6636.514,9.89e-05,,407.5,407.5
6652.958,9.89e-05,,407.5,407.5
6669.149,9.89e-05,,407.5,407.5
6685.463,9.88e-05,,407.5,407.5
6702.704,9.88e-05,,407.5,407.5
6719.714,9.88e-05,,407.5,407.5
6736.183,9.88e-05,,407.5,407.5
6752.759,9.89e-05,,407.5,407.5
6769.214,9.9e-05,,407.5,407.5
6785.429,9.9e-05,,407.5,407.5
6801.471,9.9e-05,,407.5,407.5
6817.272,9.9e-05,,407.5,407.5
6833.288,9.89e-05,,407.5,407.5
6849.367,9.89e-05,,407.5,407.5
6866.437,9.89e-05,,407.5,407.5
6884.004,9.89e-05,,407.5,407.5
6899.987,9.92e-05,,407.5,407.5
6916.318,9.92e-05,,407.5,407.5
6932.827,9.92e-05,,407.5,407.5
6948.933,9.92e-05,,407.5,407.5
6965.633,9.93e-05,,407.5,407.5
6982.895,9.92e-05,,407.5,407.5
6998.882,9.93e-05,,407.5,407.5
7015.124,9.93e-05,,407.5,407.5
7032.261,9.94e-05,,407.5,407.5
7048.926,9.94e-05,,407.5,407.5
7065.852,9.94e-05,,407.5,407.5
7081.932,9.94e-05,,407.5,407.5
7098.228,9.94e-05,,407.5,407.5
7114.655,9.95e-05,,407.5,407.5
7131.105,9.95e-05,,407.5,407.5
7147.778,9.96e-05,,407.5,407.5
7163.475,9.96e-05,,407.5,407.5
7179.492,9.96e-05,,407.5,407.5
