Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K)
2512.98,0.0001592108,5.724955e-08,440.0,440.0
2529.81,0.0001591676,7.055053e-08,439.99,440.0
2546.45,0.0001593422,3.579199e-08,440.0,440.0
2563.3,0.00015933,2.732927e-08,440.01,440.0
2580.31,0.0001592884,2.436391e-08,439.99,440.0
2597.1,0.0001593218,2.211988e-08,440.0,440.0
2613.84,0.000159276,1.74865e-08,440.0,440.0
2630.93,0.0001592284,4.58626e-08,440.0,440.0
2648.0,0.0001593064,1.635169e-08,439.99,440.0
2664.71,0.0001593503,4.538735e-08,440.0,440.0
2681.71,0.0001594072,3.560524e-08,440.0,440.0
2698.41,0.000159406,1.420485e-08,440.0,440.0
2715.38,0.0001594121,3.374562e-08,440.0,440.0
2732.64,0.0001594517,3.495092e-08,440.0,440.0
2749.37,0.0001595414,4.821065e-08,439.99,440.0
2766.27,0.0001596316,4.060159e-08,440.0,440.0
2783.38,0.0001595399,4.307474e-08,440.01,440.0
2800.48,0.0001594133,5.989815e-08,439.99,440.0
2817.74,0.0001595163,4.114487e-08,439.99,440.0
2834.59,0.0001595961,4.131841e-08,440.0,440.0
2851.47,0.0001596088,2.30497e-08,440.01,440.0
2868.67,0.0001595722,2.169383e-08,439.99,440.0
2885.62,0.0001596457,1.766384e-08,440.0,440.0
2903.11,0.0001596791,1.482078e-08,440.0,440.0
2920.53,0.0001596832,2.011522e-08,440.0,440.0
2937.37,0.000159701,1.430618e-08,440.0,440.0
2954.1,0.0001596775,3.136258e-08,440.01,440.0
2970.82,0.0001596418,2.898199e-08,440.0,440.0
2987.35,0.0001596255,4.09939e-08,440.0,440.0
3003.88,0.000159637,1.651262e-08,440.0,440.0
3020.67,0.0001596362,2.606317e-08,440.0,440.0
3037.49,0.0001596908,2.374307e-08,440.01,440.0
3054.3,0.0001596848,1.672523e-08,440.0,440.0
3071.21,0.0001596312,5.360721e-08,439.99,440.0
3087.81,0.000159655,6.158102e-08,440.0,440.0
3104.56,0.0001596673,5.518464e-08,440.01,440.0
3121.37,0.0001596032,5.614228e-08,439.99,440.0
3138.2,0.0001597729,2.663102e-08,439.99,440.0
3155.1,0.0001598021,1.816865e-08,440.02,440.0
3171.97,0.0001597296,7.392669e-08,440.0,440.0
3188.79,0.0001597283,3.21595e-08,439.99,440.0
3205.57,0.000159775,4.857297e-08,440.0,440.0
3222.27,0.0001598643,3.806442e-08,440.01,440.0
3239.25,0.0001597374,5.454906e-08,440.0,440.0
3255.76,0.0001597852,4.657801e-08,440.0,440.0
3272.68,0.0001598371,4.434323e-08,440.01,440.0
3289.67,0.0001596801,7.614672e-08,440.01,440.0
3306.41,0.000159638,4.621207e-08,439.99,440.0
3323.39,0.0001596174,5.596269e-08,440.0,440.0
3339.97,0.0001594995,6.469458e-08,440.01,440.0
3356.92,0.0001594289,6.663908e-08,439.99,440.0
3373.82,0.0001595359,3.886001e-08,440.0,440.0
3390.68,0.0001595923,2.96837e-08,440.01,440.0
3407.53,0.000159689,6.104825e-08,440.0,440.0
3424.26,0.0001596752,3.125451e-08,440.0,440.0
3441.07,0.0001597682,8.152546e-08,440.0,440.0
3457.95,0.00015991,2.980679e-08,440.0,440.0
3474.91,0.0001598591,4.462548e-08,440.01,440.0
3491.74,0.000159789,2.132812e-08,440.0,440.0
3508.56,0.0001599432,5.169526e-08,439.99,440.0
3525.35,0.0001599974,1.534203e-08,440.02,440.0
3542.16,0.0001600144,2.13656e-08,440.0,440.0
3558.92,0.0001600143,6.012773e-08,439.99,440.0
3575.71,0.000159998,6.454284e-08,440.01,440.0
3592.66,0.0001600293,9.686766e-08,440.0,440.0
3609.67,0.000159973,1.205884e-07,439.99,440.0
3626.67,0.0001601075,6.781388e-08,440.0,440.0
3643.48,0.0001602004,2.19848e-07,440.0,440.0
3660.5,0.0001605423,1.585665e-07,440.0,440.0
3677.2,0.0001607999,1.246243e-07,440.0,440.0
3694.6,0.0001613202,1.505463e-07,440.0,440.0
3711.54,0.0001613545,1.202176e-07,440.0,440.0
3728.28,0.0001612088,1.477489e-07,440.0,440.0
3745.4,0.0001612543,4.635623e-08,439.99,440.0
3762.29,0.0001613185,2.340447e-07,439.99,440.0
3779.17,0.0001618111,7.965265e-08,440.0,440.0
3795.84,0.0001617346,5.191061e-08,440.01,440.0
3812.69,0.0001616048,1.428961e-07,439.99,440.0
3829.45,0.0001617195,3.514178e-08,439.99,440.0
3846.55,0.0001617178,1.350406e-07,440.02,440.0
3863.29,0.000161467,5.075869e-08,440.0,440.0
3880.49,0.000161384,6.185287e-08,439.99,440.0
3897.37,0.0001611974,3.268775e-08,440.0,440.0
3914.39,0.0001611086,7.49121e-08,440.01,440.0
3931.5,0.0001611008,8.425068e-08,440.0,440.0
3948.4,0.0001610435,5.549424e-08,440.0,440.0
3965.46,0.0001609758,1.116988e-07,440.01,440.0
3982.47,0.0001607108,9.110531e-08,439.99,440.0
3999.52,0.0001611217,9.764909e-08,440.0,440.0
4016.48,0.0001609666,2.818148e-07,440.01,440.0
4033.83,0.0001604297,3.191673e-08,440.0,440.0
4051.21,0.0001603941,2.024544e-08,440.0,440.0
4068.12,0.0001603217,1.775168e-08,440.0,440.0
4085.08,0.0001602425,1.758314e-08,440.0,440.0
4102.35,0.0001602009,2.318261e-08,440.0,440.0
4119.07,0.0001601798,2.119119e-08,439.99,440.0
4135.52,0.000160176,1.492202e-08,440.01,440.0
4152.18,0.000160156,9.888265e-09,440.0,440.0
4168.76,0.0001601745,1.999583e-08,439.99,440.0
4185.84,0.000160158,2.162303e-08,440.01,440.0
4202.57,0.0001601562,1.543301e-08,440.01,440.0
4219.25,0.0001600981,2.849737e-08,440.0,440.0
4236.1,0.0001601863,5.401656e-08,439.98,440.0
4252.83,0.0001603049,1.913955e-08,440.01,440.0
4269.78,0.0001618891,8.335546e-07,440.0,440.0
4286.74,0.000162242,9.28954e-08,439.99,440.0
4303.57,0.0001623199,9.106707e-08,439.99,440.0
4320.17,0.0001620538,1.772248e-07,440.01,440.0
4336.64,0.0001615421,8.249505e-08,440.01,440.0
4353.77,0.0001614803,1.145019e-07,439.99,440.0
4370.54,0.000161526,4.929052e-08,440.0,440.0
4387.19,0.000161633,2.702262e-08,440.01,440.0
4403.78,0.0001615967,3.607415e-08,440.0,440.0
4420.55,0.0001614787,1.550857e-07,439.99,440.0
4437.36,0.000161181,2.712522e-08,440.0,440.0
4453.84,0.0001611141,6.25379e-08,440.01,440.0
4470.62,0.0001609723,7.506449e-08,440.01,440.0
4487.29,0.0001608571,6.253257e-08,440.0,440.0
4504.45,0.0001607701,9.940987e-08,440.0,440.0
4521.28,0.0001607081,1.312237e-07,440.01,440.0
4538.31,0.0001603924,2.723641e-08,439.99,440.0
4554.92,0.0001604329,4.015927e-08,440.0,440.0
