Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K),Conductivity_(S/cm),Delta_T
5015.896,7.39e-05,,400,400,0.000739,0.4821428571428574
5272.46,7.42e-05,,400,400,0.000742,0.4642857142857141
9784.892,7.69e-05,,400,400,0.0007689999999999,0.30357142857202396
2457.207,7.07e-05,,400,400,0.000707,0.672619047619048
2329.0,7.05e-05,,400,400,0.000705,0.6845238095238095
2762.519,7.12e-05,,400,400,0.000712,0.6428571428571431
4839.094,7.37e-05,,400,400,0.000737,0.4940476190476189
9652.6,7.69e-05,,400,400,0.0007689999999999,0.30357142857202396
2249.014,7.04e-05,,400,400,0.000704,0.6904761904761906
7353.404,7.59e-05,,400,400,0.000759,0.36309523809523797
6698.767,7.55e-05,,400,400,0.000755,0.3869047619047617
3340.087,7.2e-05,,400,400,0.00072,0.595238095238095
3971.937,7.26e-05,,400,400,0.000726,0.5595238095238096
3939.397,7.26e-05,,400,400,0.000726,0.5595238095238096
3774.19,7.25e-05,,400,400,0.000725,0.5654761904761908
2216.479,7.04e-05,,400,400,0.000704,0.6904761904761906
4099.78,7.28e-05,,400,400,0.0007279999999999,0.5476190476196432
4951.525,7.38e-05,,400,400,0.000738,0.4880952380952378
2104.309,7.01e-05,,400,400,0.000701,0.7083333333333333
2891.601,7.13e-05,,400,400,0.000713,0.6369047619047621
2023.462,7e-05,,400,400,0.0006999999999999,0.7142857142863094
4775.193,7.36e-05,,400,400,0.000736,0.5
3388.337,7.2e-05,,400,400,0.00072,0.595238095238095
8238.233,7.63e-05,,400,400,0.000763,0.3392857142857142
2425.311,7.07e-05,,400,400,0.000707,0.672619047619048
4663.575,7.34e-05,,400,400,0.000734,0.5119047619047622
7517.081,7.6e-05,,400,400,0.00076,0.3571428571428569
1543.479,6.92e-05,,400,400,0.000692,0.7619047619047619
9898.039,7.7e-05,,400,400,0.00077,0.29761904761904784
9620.4,7.69e-05,,400,400,0.0007689999999999,0.30357142857202396
1013.457,6.8e-05,,400,400,0.00068,0.8333333333333331
1188.5,6.84e-05,,400,400,0.0006839999999999,0.8095238095244051
5529.261,7.45e-05,,400,400,0.000745,0.4464285714285714
1365.935,6.88e-05,,400,400,0.000688,0.7857142857142856
7061.337,7.58e-05,,400,400,0.000758,0.36904761904761907
8730.052,7.65e-05,,400,400,0.000765,0.32738095238095266
3259.05,7.18e-05,,400,400,0.000718,0.6071428571428572
2441.222,7.07e-05,,400,400,0.000707,0.672619047619048
5997.203,7.49e-05,,400,400,0.000749,0.42261904761904767
9092.548,7.66e-05,,400,400,0.000766,0.32142857142857156
3499.835,7.21e-05,,400,400,0.000721,0.5892857142857145
