Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K),Unnamed: 5,Unnamed: 6,Conductivity_(S/cm),Delta_T
7981.909,0.0001258231,4.228212e-09,430.01,430.01,,,0.001258231,0.4851193036178153
2860.829,0.0001241719,2.557327e-07,430.0,430.0,,,0.001241719,0.6271482392609539
3315.219,0.0001242049,9.492102e-09,430.0,430.0,,,0.001242049,0.6243097249221558
6749.45,0.000125488,1.371941e-08,430.0,430.0,,,0.0012548799999999,0.513943126495382
6896.108,0.0001255985,9.488033e-08,430.01,430.01,,,0.0012559849999999,0.5044384042397079
1616.066,0.0001229936,1.198332e-08,430.01,430.01,,,0.001229936,0.7285004042732544
2348.017,0.0001236431,1.543049e-08,430.0,430.0,,,0.001236431,0.6726332811505442
1011.903,0.0001221318,8.560893e-09,430.0,430.0,,,0.0012213179999999,0.8026286363097604
1214.174,0.0001225365,2.034836e-08,430.01,430.01,,,0.001225365,0.7678181286449113
5192.403,0.0001250785,1.071085e-08,430.0,430.0,,,0.001250785,0.5491665089714267
4534.947,0.0001247471,2.508408e-08,430.0,430.0,,,0.001247471,0.5776720741798418
8387.397,0.0001258525,5.147815e-09,430.0,430.0,,,0.001258525,0.48259044538870544
8202.894,0.0001258581,8.157478e-09,430.0,430.0,,,0.001258581,0.48210875810696985
8461.668,0.0001258992,6.696599e-09,430.01,430.01,,,0.001258992,0.4785735175213751
3810.391,0.0001244709,8.685237e-09,430.0,430.0,,,0.0012447089999999,0.6014295790405833
2256.91,0.0001235854,1.128618e-08,430.01,430.01,,,0.001235854,0.6775963804641406
4571.752,0.0001247227,2.275498e-08,430.0,430.0,,,0.001247227,0.5797708544788315
1343.126,0.0001226944,1.875692e-08,430.0,430.0,,,0.0012269439999999,0.7542362676125516
9107.368,0.0001260647,3.12872e-09,429.99,429.99,,,0.001260647,0.4643379380343727
9901.408,0.000126148,2.040152e-08,429.99,429.99,,,0.00126148,0.4571728397185578
9845.768,0.0001261672,2.133229e-08,429.99,429.99,,,0.001261672,0.4555213404668936
8831.618,0.0001259499,2.167666e-08,429.99,429.99,,,0.0012594989999999,0.4742125273108099
1726.222,0.0001231486,5.103376e-09,430.0,430.0,,,0.001231486,0.715167988439506
4171.3,0.0001246121,1.184577e-08,430.0,430.0,,,0.001246121,0.5892841782931072
6565.307,0.0001254714,1.343462e-08,430.01,430.01,,,0.0012547139999999,0.5153709852233835
3846.365,0.0001244674,8.996296e-09,430.01,430.01,,,0.0012446739999999,0.601730633591668
2329.963,0.0001236046,7.560129e-09,430.0,430.0,,,0.001236046,0.6759448812124763
9494.678,0.0001260852,7.052186e-09,429.99,429.99,,,0.001260852,0.46257461852087606
2714.01,0.000123817,5.637178e-09,430.01,430.01,,,0.00123817,0.6576751707409384
7026.076,0.0001255261,2.117887e-08,430.01,430.01,,,0.001255261,0.5106659326670002
3718.633,0.0001243752,8.456424e-09,430.01,430.01,,,0.0012437519999999,0.609661270623098
9919.748,0.0001261769,6.773314e-09,430.01,430.01,,,0.0012617689999999,0.45468698928331774
8813.178,0.0001259411,1.708443e-08,430.01,430.01,,,0.001259411,0.47496946446696175
2165.187,0.0001235212,6.679987e-09,430.01,430.01,,,0.001235212,0.6831185810868927
6693.87,0.0001254568,1.463481e-08,429.99,429.99,,,0.001254568,0.5166268127784761
7189.552,0.0001255738,7.420692e-09,430.0,430.0,,,0.001255738,0.5065629892136463
5981.025,0.0001253173,3.177718e-08,429.99,429.99,,,0.001253173,0.5286259870288499
2659.993,0.0001238284,5.059644e-09,430.01,430.01,,,0.001238284,0.6566945930602621
5798.109,0.0001252634,6.979335e-09,430.01,430.01,,,0.0012526339999999,0.5332622271164147
8277.185,0.0001258377,3.12872e-09,430.01,430.01,,,0.001258377,0.4838634760618629
9587.078,0.0001261246,5.891614e-09,430.0,430.0,,,0.001261246,0.45918560443152384
8703.398,0.0001259167,1.123536e-08,430.0,430.0,,,0.001259167,0.47706824476595144
2915.327,0.0001239429,7.430418e-09,430.0,430.0,,,0.001239429,0.6468458084604933
7134.943,0.0001255724,4.273952e-09,430.0,430.0,,,0.001255724,0.5066834110340802
9624.138,0.0001261525,5.797509e-09,430.0,430.0,,,0.0012615249999999,0.45678576958230926
9735.838,0.0001261625,6.311365e-09,430.0,430.0,,,0.001261625,0.45592561372120705
2458.579,0.0001236799,1.372305e-08,429.99,429.99,,,0.001236799,0.6694679075848546
6455.77,0.0001254601,4.234895e-08,430.01,430.01,,,0.001254601,0.5163429613445966
6786.189,0.0001254753,1.170992e-08,430.0,430.0,,,0.001254753,0.5150355244370288
2514.078,0.0001237294,1.242041e-08,430.0,430.0,,,0.001237294,0.6652101360766584
3407.582,0.0001242465,1.232207e-08,430.0,430.0,,,0.001242465,0.6207314765435492
6675.304,0.0001254457,8.969702e-09,430.0,430.0,,,0.001254457,0.5175815857833438
6310.053,0.0001253897,4.164666e-09,430.0,430.0,,,0.001253897,0.5223984586006996
8146.986,0.0001258529,1.343668e-08,430.0,430.0,,,0.001258529,0.4825560391542952
9827.788,0.0001261216,5.358275e-09,430.0,430.0,,,0.001261216,0.45944365118959674
3151.182,0.0001240577,4.595892e-09,430.01,430.01,,,0.001240577,0.636971219184916
7226.303,0.0001255588,1.645735e-08,430.01,430.01,,,0.001255588,0.5078532230040089
2588.292,0.0001237767,1.135341e-08,430.0,430.0,,,0.0012377669999999,0.6611415988585745
2384.722,0.0001236783,8.459708e-09,430.0,430.0,,,0.001236783,0.6696055325224937
8868.318,0.0001259931,6.081849e-09,430.0,430.0,,,0.001259931,0.47049665399370444
