Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K),Conductivity_(S/cm),Delta_T
70.136,0.000104177,,430,430,0.00104177,0.9874583226468325
72.518,0.00010419,,430,430,0.0010419,0.987124903821493
74.835,0.000104214,,430,430,0.00104214,0.9865093613747115
76.665,0.000104238,,430,430,0.00104238,0.98589381892793
78.474,0.000104246,,430,430,0.00104246,0.9856886381123364
80.337,0.000104261,,430,430,0.00104261,0.9853039240830982
82.195,0.000104287,,430,430,0.00104287,0.9846370864324187
84.201,0.00010428,,430,430,0.0010428,0.9848166196460632
86.049,0.000104302,,430,430,0.00104302,0.9842523724031804
87.93,0.000104299,,430,430,0.00104299,0.9843293152090281
90.452,0.000104317,,430,430,0.00104317,0.9838676583739422
92.349,0.000104337,,430,430,0.00104337,0.9833547063349576
94.325,0.000104333,,430,430,0.00104333,0.9834572967427544
96.667,0.000104342,,430,430,0.00104342,0.9832264683252117
98.484,0.000104357,,430,430,0.00104357,0.9828417542959734
690.251,0.000108502,,430,430,0.00108502,0.876532444216466
176.383,0.000104891,,430,430,0.00104891,0.9691459348550914
765.3,0.000108934,,430,430,0.00108934,0.8654526801744036
909.498,0.000109786,,430,430,0.00109786,0.8436009233136703
404.8,0.000106626,,430,430,0.00106626,0.924647345473198
598.993,0.000107861,,430,430,0.00107861,0.8929725570659143
577.51,0.000107751,,430,430,0.00107751,0.8957937932803282
297.995,0.000105851,,430,430,0.00105851,0.9445242369838422
889.014,0.000109712,,430,430,0.00109712,0.8454988458579122
158.29,0.000104804,,430,430,0.0010480399999999,0.9713772762249298
240.949,0.000105402,,430,430,0.00105402,0.9560400102590411
499.174,0.000107259,,430,430,0.00107259,0.9084124134393434
375.529,0.000106446,,430,430,0.00106446,0.9292639138240577
792.824,0.000109093,,430,430,0.00109093,0.8613747114644783
720.607,0.000108634,,430,430,0.00108634,0.8731469607591689
208.74,0.000105168,,430,430,0.00105168,0.9620415491151579
429.579,0.000106839,,430,430,0.00106839,0.9191844062580149
547.27,0.000107618,,430,430,0.00107618,0.8992049243395744
668.537,0.000108329,,430,430,0.00108329,0.8809694793536805
260.975,0.000105562,,430,430,0.00105562,0.9519363939471661
251.152,0.000105479,,430,430,0.00105479,0.9540651449089513
359.39,0.000106256,,430,430,0.00106256,0.934136958194409
735.208,0.000108723,,430,430,0.00108723,0.8708643241856887
329.809,0.000106029,,430,430,0.00106029,0.9399589638368814
886.615,0.000109706,,430,430,0.00109706,0.8456527314696077
529.454,0.000107503,,430,430,0.00107503,0.9021543985637342
255.322,0.000105511,,430,430,0.00105511,0.9532444216465762
980.017,0.000110166,,430,430,0.00110166,0.8338548345729676
117.938,0.000104511,,430,430,0.00104511,0.978892023595794
636.54,0.000108083,,430,430,0.00108083,0.8872787894331878
850.362,0.000109436,,430,430,0.00109436,0.8525775839958966
583.215,0.000107778,,430,430,0.00107778,0.8951013080276995
928.006,0.000109887,,430,430,0.00109887,0.8410105155167991
321.215,0.000105986,,430,430,0.00105986,0.9410618107206978
988.871,0.000110224,,430,430,0.00110224,0.8323672736599129
248.679,0.000105442,,430,430,0.00105442,0.9550141061810723
649.0,0.00010819,,430,430,0.0010819,0.8845344960246218
907.338,0.000109789,,430,430,0.00109789,0.8435239805078225
343.265,0.000106113,,430,430,0.00106113,0.937804565273147
253.364,0.000105496,,430,430,0.00105496,0.9536291356758144
660.394,0.000108264,,430,430,0.00108264,0.8826365734803797
276.853,0.000105653,,430,430,0.00105653,0.9496024621697873
937.466,0.000109929,,430,430,0.00109929,0.8399333162349323
242.827,0.000105414,,430,430,0.00105414,0.95573223903565
400.875,0.000106593,,430,430,0.00106593,0.9254937163375222
246.654,0.000105437,,430,430,0.00105437,0.9551423441908182
237.184,0.000105367,,430,430,0.00105367,0.9569376763272633
566.142,0.0001077,,430,430,0.001077,0.8971018209797383
911.991,0.000109802,,430,430,0.00109802,0.843190561682483
868.096,0.00010956,,430,430,0.0010956,0.8493972813541936
769.03,0.000108951,,430,430,0.00108951,0.8650166709412672
164.276,0.000104829,,430,430,0.00104829,0.9707360861759429
581.181,0.00010776,,430,430,0.0010776,0.8955629648627855
716.579,0.000108628,,430,430,0.00108628,0.8733008463708644
423.624,0.000106789,,430,430,0.00106789,0.920466786355476
638.464,0.000108106,,430,430,0.00108106,0.886688894588356
121.738,0.000104521,,430,430,0.00104521,0.9786355475763017
884.606,0.000109696,,430,430,0.00109696,0.8459092074891
129.175,0.000104593,,430,430,0.00104593,0.9767889202359579
974.451,0.000110128,,430,430,0.00110128,0.8348294434470376
483.493,0.000107138,,430,430,0.00107138,0.9115157732751987
