Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K),Conductivity_(S/cm),Delta_T
2109.573,9.29e-05,,407.5,407.5,0.0009289999999999,0.656232306074982
9488.892,0.000101204,,407.5,407.5,0.00101204,0.32039149073849343
2027.927,9.27e-05,,407.5,407.5,0.000927,0.664320957696352
5925.218,9.86e-05,,407.5,407.5,0.000986,0.42570573485400015
2661.968,9.41e-05,,407.5,407.5,0.000941,0.6077003963439295
5598.616,9.83e-05,,407.5,407.5,0.000983,0.437838712286662
6884.004,9.89e-05,,407.5,407.5,0.000989,0.4135727574213374
1539.804,9.12e-05,,407.5,407.5,0.0009119999999999,0.7249858448600665
3619.364,9.59e-05,,407.5,407.5,0.000959,0.5349025317479575
3311.22,9.54e-05,,407.5,407.5,0.000954,0.5551241608023942
1010.027,8.93e-05,,407.5,407.5,0.000893,0.801828035266521
1187.159,9e-05,,407.5,407.5,0.0009,0.7735177545903099
5449.575,9.82e-05,,407.5,407.5,0.000982,0.441883038097549
1363.401,9.06e-05,,407.5,407.5,0.000906,0.7492517997249858
6998.882,9.93e-05,,407.5,407.5,0.000993,0.3973954541777886
7392.64,9.96e-05,,407.5,407.5,0.000996,0.38526247674512676
2451.783,9.37e-05,,407.5,407.5,0.000937,0.6238776995874787
2711.025,9.42e-05,,407.5,407.5,0.000942,0.603656070533042
8946.05,0.000100957,,407.5,407.5,0.00100957,0.33038097549138545
5500.181,9.82e-05,,407.5,407.5,0.000982,0.441883038097549
8748.041,0.000100893,,407.5,407.5,0.00100893,0.3329693440103537
6982.895,9.92e-05,,407.5,407.5,0.000992,0.4014397799886756
7244.589,9.96e-05,,407.5,407.5,0.000996,0.38526247674512676
1299.186,9.04e-05,,407.5,407.5,0.000904,0.7573404513467606
4605.157,9.71e-05,,407.5,407.5,0.000971,0.48637062201730974
3460.636,9.57e-05,,407.5,407.5,0.000957,0.5429911833697324
1251.269,9.02e-05,,407.5,407.5,0.000902,0.7654291029685351
3848.741,9.62e-05,,407.5,407.5,0.000962,0.5227695543152957
1636.062,9.15e-05,,407.5,407.5,0.000915,0.7128528674269998
9374.547,0.000101223,,407.5,407.5,0.00101223,0.31962306883442504
5614.521,9.83e-05,,407.5,407.5,0.000983,0.437838712286662
1747.672,9.19e-05,,407.5,407.5,0.000919,0.6966755641834506
2530.894,9.39e-05,,407.5,407.5,0.000939,0.6157890479657043
6504.506,9.88e-05,,407.5,407.5,0.000988,0.4176170832322253
4473.666,9.7e-05,,407.5,407.5,0.0009699999999999,0.49041494782860146
4063.831,9.65e-05,,407.5,407.5,0.000965,0.5106365768826334
7131.105,9.95e-05,,407.5,407.5,0.000995,0.38930680255601374
9985.108,0.000101557,,407.5,407.5,0.00101557,0.3061150206260618
7556.178,9.98e-05,,407.5,407.5,0.000998,0.3771738251233519
3914.701,9.64e-05,,407.5,407.5,0.000964,0.5146809026935208
7507.349,9.98e-05,,407.5,407.5,0.000998,0.3771738251233519
9886.007,0.000101548,,407.5,407.5,0.00101548,0.3064790099490412
6140.808,9.88e-05,,407.5,407.5,0.000988,0.4176170832322253
7228.741,9.96e-05,,407.5,407.5,0.000996,0.38526247674512676
6042.398,9.87e-05,,407.5,407.5,0.000987,0.4216614090431123
6355.209,9.89e-05,,407.5,407.5,0.000989,0.4135727574213374
3443.972,9.56e-05,,407.5,407.5,0.000956,0.5470355091806194
9935.459,0.000101517,,407.5,407.5,0.00101517,0.30773275095041674
7032.261,9.94e-05,,407.5,407.5,0.000994,0.3933511283669007
7458.217,9.97e-05,,407.5,407.5,0.000997,0.3812181509342389
2125.297,9.29e-05,,407.5,407.5,0.0009289999999999,0.656232306074982
7425.551,9.97e-05,,407.5,407.5,0.000997,0.3812181509342389
9686.34,0.000101431,,407.5,407.5,0.00101431,0.31121087114777934
4179.092,9.67e-05,,407.5,407.5,0.000967,0.502547925260859
4722.603,9.73e-05,,407.5,407.5,0.0009729999999999,0.47828197039593917
3151.452,9.51e-05,,407.5,407.5,0.0009509999999999,0.5672571382354608
4888.971,9.76e-05,,407.5,407.5,0.000976,0.46614899296287304
3034.842,9.49e-05,,407.5,407.5,0.000949,0.5753457898568309
9064.08,0.000101034,,407.5,407.5,0.00101034,0.3272668446170023
4457.281,9.7e-05,,407.5,407.5,0.0009699999999999,0.49041494782860146
4938.743,9.77e-05,,407.5,407.5,0.000977,0.4621046671519856
5990.935,9.86e-05,,407.5,407.5,0.000986,0.42570573485400015
7048.926,9.94e-05,,407.5,407.5,0.000994,0.3933511283669007
5942.57,9.86e-05,,407.5,407.5,0.000986,0.42570573485400015
9029.302,0.000101032,,407.5,407.5,0.00101032,0.3273477311332195
5116.016,9.78e-05,,407.5,407.5,0.000978,0.45806034134109863
7359.251,9.97e-05,,407.5,407.5,0.000997,0.3812181509342389
4922.139,9.76e-05,,407.5,407.5,0.000976,0.46614899296287304
8184.476,0.000100411,,407.5,407.5,0.00100411,0.35246299441883067
1315.152,9.05e-05,,407.5,407.5,0.000905,0.7532961255358732
7179.492,9.96e-05,,407.5,407.5,0.000996,0.38526247674512676
1914.13,9.24e-05,,407.5,407.5,0.0009239999999999,0.6764539351294182
9588.353,0.000101312,,407.5,407.5,0.00101312,0.3160236188627356
5548.303,9.83e-05,,407.5,407.5,0.000983,0.437838712286662
9785.991,0.000101496,,407.5,407.5,0.00101496,0.30858205937070243
9538.951,0.000101296,,407.5,407.5,0.00101296,0.31667071099247723
3930.993,9.64e-05,,407.5,407.5,0.000964,0.5146809026935208
1412.091,9.08e-05,,407.5,407.5,0.000908,0.7411631481032114
6965.633,9.93e-05,,407.5,407.5,0.000993,0.3973954541777886
1684.03,9.17e-05,,407.5,407.5,0.000917,0.7047642158052254
6669.149,9.89e-05,,407.5,407.5,0.000989,0.4135727574213374
9227.427,0.000101076,,407.5,407.5,0.00101076,0.32556822777642913
8699.215,0.000100852,,407.5,407.5,0.00100852,0.33462751759281734
6157.191,9.88e-05,,407.5,407.5,0.000988,0.4176170832322253
3537.317,9.58e-05,,407.5,407.5,0.000958,0.538946857558845
3067.102,9.49e-05,,407.5,407.5,0.000949,0.5753457898568309
5646.867,9.84e-05,,407.5,407.5,0.000984,0.4337943864757741
7081.932,9.94e-05,,407.5,407.5,0.000994,0.3933511283669007
1507.931,9.11e-05,,407.5,407.5,0.000911,0.7290301706705491
2857.424,9.45e-05,,407.5,407.5,0.000945,0.5915230931003802
4441.011,9.7e-05,,407.5,407.5,0.0009699999999999,0.49041494782860146
84729.91,0.00010448,,407.5,407.5,0.0010448,0.1878993771738248
97736.77,0.000105442,,407.5,407.5,0.00105442,0.14899296287308914
94195.38,0.000105229,,407.5,407.5,0.00105229,0.15760737685027884
73452.13,0.000104651,,407.5,407.5,0.00104651,0.18098358003720733
60046.82,0.000104398,,407.5,407.5,0.00104398,0.1912157243387529
23395.92,0.00010388,,407.5,407.5,0.0010388,0.21216533203914847
48771.92,0.000104392,,407.5,407.5,0.00104392,0.19145838388740558
88440.16,0.000104879,,407.5,407.5,0.00104879,0.17176251718838462
40779.73,0.000104326,,407.5,407.5,0.00104326,0.19412763892259113
82275.81,0.000104506,,407.5,407.5,0.00104506,0.1868478524629942
73844.87,0.000104693,,407.5,407.5,0.00104693,0.1792849631966351
91180.11,0.000105256,,407.5,407.5,0.00105256,0.1565154088813396
34829.88,0.00010332,,407.5,407.5,0.0010332,0.23481355658011807
10541.79,0.00010182,,407.5,407.5,0.0010182,0.29547844374342813
92119.23,0.000105205,,407.5,407.5,0.00105205,0.1585780150448922
39548.25,0.000104227,,407.5,407.5,0.00104227,0.1981315214753695
67733.02,0.000104305,,407.5,407.5,0.00104305,0.19497694734287768
80466.87,0.00010447,,407.5,407.5,0.0010447,0.18830380975491376
99508.36,0.000105477,,407.5,407.5,0.00105477,0.1475774488392782
95050.84,0.000105338,,407.5,407.5,0.00105338,0.15319906171641154
21280.05,0.000103876,,407.5,407.5,0.00103876,0.21232710507158475
52563.41,0.00010469,,407.5,407.5,0.0010469,0.17940629297096186
73731.48,0.000104672,,407.5,407.5,0.00104672,0.18013427161692167
68718.18,0.000104413,,407.5,407.5,0.00104413,0.190609075467119
80154.16,0.0001045,,407.5,407.5,0.001045,0.18709051201164775
33477.84,0.000102892,,407.5,407.5,0.00102892,0.25212327105071564
33660.22,0.000102808,,407.5,407.5,0.00102808,0.255520504731861
94080.17,0.000105211,,407.5,407.5,0.00105211,0.15833535549623862
86893.29,0.000104682,,407.5,407.5,0.00104682,0.1797298390358327
54683.19,0.000104489,,407.5,407.5,0.00104489,0.18753538785084536
76901.5,0.000105051,,407.5,407.5,0.00105051,0.1648062767936585
82225.72,0.000104495,,407.5,407.5,0.00104495,0.1872927283021918
29716.46,0.000104108,,407.5,407.5,0.00104108,0.20294426919032577
41277.79,0.000104386,,407.5,407.5,0.00104386,0.19170104343605912
80846.78,0.000104457,,407.5,407.5,0.00104457,0.18882957211032864
11389.87,0.000102097,,407.5,407.5,0.00102097,0.2842756612472701
35751.77,0.000103563,,407.5,407.5,0.00103563,0.22498584485966147
79874.77,0.000104534,,407.5,407.5,0.00104534,0.18571544123594547
14890.94,0.000102969,,407.5,407.5,0.00102969,0.24900914017633247
18109.66,0.000103586,,407.5,407.5,0.00103586,0.22405564992315763
29402.94,0.000104075,,407.5,407.5,0.00104075,0.20427889670791854
61180.22,0.000104115,,407.5,407.5,0.00104115,0.20266116638356357
22248.51,0.000103893,,407.5,407.5,0.00103893,0.21163956968373362
27887.12,0.000104039,,407.5,407.5,0.00104039,0.2057348539998381
63172.24,0.000104329,,407.5,407.5,0.0010432899999999,0.1940063091486695
39532.06,0.000104252,,407.5,407.5,0.00104252,0.1971204400226484
36410.21,0.000103569,,407.5,407.5,0.00103569,0.2247431853110088
41010.55,0.00010433,,407.5,407.5,0.0010433,0.19396586589015571
88045.21,0.000104772,,407.5,407.5,0.00104772,0.1760899458060338
12770.05,0.00010252,,407.5,407.5,0.0010252,0.2671681630672166
23197.47,0.000103858,,407.5,407.5,0.0010385799999999,0.21305508371794882
64804.47,0.000104189,,407.5,407.5,0.00104189,0.1996683652835072
70214.5,0.00010441,,407.5,407.5,0.0010441,0.19073040524144577
91789.63,0.000105254,,407.5,407.5,0.00105254,0.15659629539755687
78784.98,0.000104801,,407.5,407.5,0.00104801,0.1749170913208764
33445.6,0.000102863,,407.5,407.5,0.00102863,0.253296125535873
82176.73,0.000104495,,407.5,407.5,0.00104495,0.1872927283021918
86793.61,0.000104664,,407.5,407.5,0.00104664,0.18045781768179248
75299.12,0.000104881,,407.5,407.5,0.00104881,0.17168163067216646
10246.84,0.000101648,,407.5,407.5,0.00101648,0.3024346841381542
72907.83,0.000104594,,407.5,407.5,0.00104594,0.18328884574941345
82706.28,0.000104498,,407.5,407.5,0.00104498,0.18717139852786502
25259.55,0.000103826,,407.5,407.5,0.00103826,0.21434926797702783
93055.0,0.000105223,,407.5,407.5,0.00105223,0.15785003639893241
79229.27,0.00010466,,407.5,407.5,0.0010466,0.18061959071422787
63584.73,0.000104254,,407.5,407.5,0.00104254,0.19703955350643027
56056.08,0.000104697,,407.5,407.5,0.00104697,0.1791231901641997
99185.56,0.000105467,,407.5,407.5,0.00105467,0.14798188142036717
58581.93,0.000104403,,407.5,407.5,0.00104403,0.19101350804820796
33741.78,0.000102898,,407.5,407.5,0.00102898,0.2518806115020621
68884.06,0.000104442,,407.5,407.5,0.00104442,0.1894362209819625
28053.85,0.000104034,,407.5,407.5,0.00104034,0.20593707029038216
84370.25,0.000104504,,407.5,407.5,0.00104504,0.18692873897921236
89316.85,0.000104986,,407.5,407.5,0.00104986,0.16743508857073544
11296.3,0.000102083,,407.5,407.5,0.00102083,0.2848418668607945
23362.1,0.000103867,,407.5,407.5,0.00103867,0.2126910943945642
80696.41,0.00010449,,407.5,407.5,0.0010449,0.18749494459273586
73190.21,0.000104668,,407.5,407.5,0.00104668,0.18029604464935706
22331.83,0.000103828,,407.5,407.5,0.00103828,0.21426838146081056
62427.46,0.000104297,,407.5,407.5,0.0010429699999999,0.19530049340815278
29207.17,0.000104067,,407.5,407.5,0.00104067,0.20460244277278936
56713.44,0.000104669,,407.5,407.5,0.0010466899999999,0.18025560139165273
88423.92,0.000104866,,407.5,407.5,0.0010486599999999,0.17228827954420464
27229.13,0.000104054,,407.5,407.5,0.00104054,0.2051282051282051
53958.61,0.000104452,,407.5,407.5,0.00104452,0.18903178840087356
45210.71,0.000104599,,407.5,407.5,0.00104599,0.18308662945886942
80863.21,0.000104446,,407.5,407.5,0.0010444599999999,0.1892744479499314
41815.19,0.00010445,,407.5,407.5,0.0010445,0.18911267491709083
54105.01,0.00010432,,407.5,407.5,0.0010432,0.19437029847124468
89037.83,0.000104923,,407.5,407.5,0.00104923,0.16998301383159423
80202.86,0.000104495,,407.5,407.5,0.00104495,0.1872927283021918
36426.28,0.0001036,,407.5,407.5,0.001036,0.22348944430963327
22598.05,0.000103948,,407.5,407.5,0.00103948,0.20941519048774565
39942.67,0.000104259,,407.5,407.5,0.00104259,0.19683733721588623
88803.82,0.000104865,,407.5,407.5,0.00104865,0.172328722801909
10132.83,0.000101567,,407.5,407.5,0.00101567,0.3057105880449728
68635.79,0.000104408,,407.5,407.5,0.00104408,0.19081129175766393
23312.67,0.000103822,,407.5,407.5,0.0010382199999999,0.2145110410098675
56567.38,0.00010467,,407.5,407.5,0.0010467,0.18021515813313893
38718.61,0.000104165,,407.5,407.5,0.00104165,0.20063900347811964
30145.09,0.000104058,,407.5,407.5,0.00104058,0.2049664320957697
21755.26,0.000103889,,407.5,407.5,0.00103889,0.21180134271616902
56317.35,0.000104725,,407.5,407.5,0.00104725,0.17799077893715096
72196.0,0.000104605,,407.5,407.5,0.00104605,0.18284396991021584
22399.34,0.000103809,,407.5,407.5,0.00103809,0.21503680336487896
92054.52,0.000105236,,407.5,407.5,0.00105236,0.15732427404351668
12179.52,0.000102339,,407.5,407.5,0.0010233899999999,0.27448839278532733
21410.51,0.000103871,,407.5,407.5,0.00103871,0.21252932136212882
16109.15,0.000103253,,407.5,407.5,0.00103253,0.23752325487341225
49968.83,0.000104319,,407.5,407.5,0.00104319,0.19441074172935333
16899.43,0.000103341,,407.5,407.5,0.00103341,0.2339642481598315
57222.4,0.000104696,,407.5,407.5,0.00104696,0.17916363342230832
88157.66,0.000104772,,407.5,407.5,0.00104772,0.1760899458060338
55535.25,0.000104376,,407.5,407.5,0.00104376,0.19210547601714809
44947.28,0.000104628,,407.5,407.5,0.00104628,0.18191377497371203
37391.52,0.00010391,,407.5,407.5,0.0010391,0.21095203429588247
21492.45,0.000103867,,407.5,407.5,0.00103867,0.2126910943945642
90757.39,0.000105158,,407.5,407.5,0.0010515799999999,0.1604788481764136
31387.93,0.000102806,,407.5,407.5,0.00102806,0.2556013912480791
17675.8,0.000103539,,407.5,407.5,0.00103539,0.2259564830542748
35021.25,0.000103359,,407.5,407.5,0.00103359,0.23323626951387172
72958.8,0.00010466,,407.5,407.5,0.0010466,0.18061959071422787
12753.91,0.000102523,,407.5,407.5,0.00102523,0.2670468332928898
83545.56,0.000104477,,407.5,407.5,0.00104477,0.1880207069481516
92432.96,0.000105194,,407.5,407.5,0.00105194,0.15902289088408977
72560.92,0.000104584,,407.5,407.5,0.00104584,0.18369327833050242
53416.92,0.000104591,,407.5,407.5,0.00104591,0.18341017552374023
53842.19,0.000104438,,407.5,407.5,0.00104438,0.18959799401439792
51596.14,0.000104615,,407.5,407.5,0.00104615,0.1824395373291269
14874.23,0.000102955,,407.5,407.5,0.00102955,0.24957534578985682
84500.64,0.000104507,,407.5,407.5,0.00104507,0.1868074092048856
42403.6,0.00010451,,407.5,407.5,0.0010451,0.1866860794305588
77729.93,0.000105055,,407.5,407.5,0.00105055,0.1646445037612231
80995.0,0.000104473,,407.5,407.5,0.00104473,0.188182479980587
20307.96,0.00010376,,407.5,407.5,0.0010376,0.2170185230122134
86414.02,0.000104607,,407.5,407.5,0.00104607,0.18276308339399772
86974.58,0.000104704,,407.5,407.5,0.00104704,0.1788400873574375
14593.67,0.000102916,,407.5,407.5,0.00102916,0.2511526328561023
91361.31,0.000105249,,407.5,407.5,0.00105249,0.1567985116881018
41177.73,0.000104343,,407.5,407.5,0.00104343,0.19344010353474086
48624.05,0.00010444,,407.5,407.5,0.0010444,0.18951710749817977
41261.53,0.000104379,,407.5,407.5,0.00104379,0.1919841462428213
39290.48,0.00010425,,407.5,407.5,0.0010425,0.19720132653886566
74604.06,0.000104778,,407.5,407.5,0.00104778,0.1758472862573811
59315.75,0.000104425,,407.5,407.5,0.00104425,0.19012375636981277
64229.03,0.000104148,,407.5,407.5,0.00104148,0.2013265388659708
18272.45,0.000103499,,407.5,407.5,0.00103499,0.22757421337862976
46260.39,0.000104541,,407.5,407.5,0.00104541,0.18543233842918327
24268.23,0.00010387,,407.5,407.5,0.0010387,0.21256976462023744
19140.22,0.000103706,,407.5,407.5,0.00103706,0.21920245895009274
70427.57,0.00010445,,407.5,407.5,0.0010445,0.18911267491709083
83875.76,0.000104493,,407.5,407.5,0.00104493,0.18737361481840994
85523.53,0.000104615,,407.5,407.5,0.00104615,0.1824395373291269
27030.93,0.000104058,,407.5,407.5,0.00104058,0.2049664320957697
52809.32,0.000104672,,407.5,407.5,0.00104672,0.18013427161692167
65023.96,0.000104176,,407.5,407.5,0.00104176,0.20019412763892205
10378.83,0.000101731,,407.5,407.5,0.00101731,0.2990778937151175
89980.74,0.000105102,,407.5,407.5,0.00105102,0.16274367063010595
87303.74,0.000104714,,407.5,407.5,0.00104714,0.17843565477634854
22809.48,0.000103947,,407.5,407.5,0.00103947,0.20945563374585427
78338.44,0.000104901,,407.5,407.5,0.00104901,0.17087276550998942
53384.34,0.000104598,,407.5,407.5,0.00104598,0.18312707271697803
27280.16,0.000104052,,407.5,407.5,0.00104052,0.20520909164442236
61667.14,0.000104255,,407.5,407.5,0.00104255,0.19699911024832162
28071.38,0.000104043,,407.5,407.5,0.00104043,0.2055730809674027
82836.82,0.00010455,,407.5,407.5,0.0010455,0.18506834910620382
730405.2,0.000106568,,407.5,407.5,0.00106568,0.1034538542424973
